ID,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,NIVEL 5,NIVEL 6,TIPO DE EMISSAO,GÁS,TERRITÓRIO,IBGE,MUNICIPIO,ATIVIDADE ECONÔMICA,PRODUTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200013,AC - Acrelândia,SANEAMENTO,NA,0,0,"0,31","0,62","0,96","1,3","1,73","2,21","2,67","3,25","5,21","4,27","3,25","2,27","3,26","4,39","4,6","9,52","5,21","5,49","4,68","8,48","11,11","6,7","10,06","10,14","8,69","10,38","10,45","11,02"
2,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200054,AC - Assis Brasil,SANEAMENTO,NA,"0,02","0,03","0,06","0,1","0,16","0,21","0,28","0,35","0,43","0,52","0,86","0,75","0,6","0,45","0,74","1,03","1,11","2,67","1,54","1,67","1,63","2,94","3,88","2,28","3,44","3,49","3,03","3,55","3,61","3,87"
3,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200104,AC - Brasiléia,SANEAMENTO,NA,"0,13","0,2","0,38","0,71","1,2","1,62","2,1","2,63","3,36","4,01","6,32","5,2","3,99","2,76","3,11","4,16","4,32","9,85","5,5","5,79","5,21","9,32","12,17","7,33",11,"11,26","9,76","11,6","11,76","12,31"
4,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200138,AC - Bujari,SANEAMENTO,NA,0,0,"0,2","0,42","0,63","0,87","1,14","1,44","1,77","2,13","3,39","2,88","2,22","1,57","2,15","2,97","3,14","5,07","2,75","2,84","3,02","5,59","7,2","4,33","6,47","6,54","5,59","6,6","6,76","7,14"
5,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200179,AC - Capixaba,SANEAMENTO,NA,0,0,"0,26","0,5","0,77","1,06","1,44","1,81","2,22","2,68","4,25","3,55","2,72","1,87","2,23","3,15","3,25","7,71","4,2","4,34","3,35","6,32","8,32","5,04","7,69",8,"6,8","8,2","8,28","8,79"
6,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200203,AC - Cruzeiro do Sul,SANEAMENTO,NA,"0,43","0,67","1,88","3,22","5,17","7,36","9,31","11,99","14,41","17,65","28,4","22,25","16,74","11,3","13,98","18,49","18,67","33,12","16,96","16,89","14,01","26,27","32,72","19,74","28,56","28,56","24,16","28,74","29,33","30,75"
7,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200252,AC - Epitaciolândia,SANEAMENTO,NA,0,0,"0,31","0,53","0,85","1,2","1,52","1,96","2,45","2,89","4,64","3,88","2,93","1,99","2,51","3,35","3,51","6,94","3,75","3,93","3,43","6,32","8,3","4,98","7,45","7,64","6,38","7,66","7,76","8,13"
8,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200302,AC - Feijó,SANEAMENTO,NA,"0,11","0,18","0,45","0,81","1,21","1,66","2,36","2,93","3,56","4,25","6,71","6,1","4,96","3,78","5,68","8,08","9,1","16,17","9,54","10,15","8,94","16,43","21,13","12,11","17,96","17,76","14,73","17,32","18,1","19,08"
9,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200328,AC - Jordão,SANEAMENTO,NA,0,0,"0,07","0,13","0,2","0,27","0,36","0,48","0,59","0,7","1,1","0,94","0,75","0,56","0,7","0,94",1,"2,92","1,7","1,93","1,71","3,2","4,12","2,44","3,82","3,89","3,29","3,89","3,93","4,23"
10,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200336,AC - Mâncio Lima,SANEAMENTO,NA,"0,13","0,2","0,62","1,13","1,7","2,42","3,14","4,03","4,92",6,"9,48","7,54","5,51","3,66","4,07","5,19","5,12","10,92","5,59","5,5","4,44","8,11","10,59","6,31","9,59","9,94","8,45","10,07","10,23","10,67"
