ID,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,NIVEL 5,NIVEL 6,TIPO DE EMISSAO,GÁS,TERRITÓRIO,IBGE,MUNICIPIO,ATIVIDADE ECONÔMICA,PRODUTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700102,AL - Água Branca,SANEAMENTO,NA,"1,84","1,93","1,43","1,56","1,69","1,82","1,96","2,09","2,23","4,99","7,65","7,69","8,2","8,46","8,37","15,57","19,99","20,21","20,9","18,94","20,75","31,76","27,08","33,33","23,07","32,25","18,55","18,27","16,42","15,18"
2,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700201,AL - Anadia,SANEAMENTO,NA,"0,45","0,47","0,53","0,58","0,63","0,67","0,72","0,77","0,83","1,98","3,09","3,05","3,01","3,17","2,94","5,26","6,36","5,78","5,75","4,89","5,24","8,32","6,8","8,34","5,83","8,05","4,75","4,46","4,13","3,85"
3,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700300,AL - Arapiraca,SANEAMENTO,NA,"2,28","2,39","2,77","3,01","3,26","3,52","3,78","4,05","4,32","9,19","16,16","16,01","15,8","15,59","14,56","26,1","31,66","29,65","29,49","25,38","28,15","43,07","38,82","47,96","33,49","46,31","25,5","25,67","21,65","21,77"
4,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700409,AL - Atalaia,SANEAMENTO,NA,"0,8","0,84","0,9","0,98","1,07","1,15","1,23","1,32","1,41",3,"4,52","4,43","4,84","4,75","4,38","8,57","10,33","12,64","12,59","10,96","10,83","16,89","13,58","16,76","12,22","16,59","9,67","9,72","8,83","8,13"
5,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700508,AL - Barra de Santo Antônio,SANEAMENTO,NA,"0,1","0,1","0,08","0,09","0,1","0,11","0,12","0,12","0,13","0,42","0,56","0,57","0,58","0,58","0,42","0,77","0,96","0,86","0,86","0,5","0,53","0,86","0,78","0,97","0,76","0,79","0,5","0,5","0,49","0,5"
6,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700607,AL - Barra de São Miguel,SANEAMENTO,NA,"0,1","0,11","0,14","0,15","0,17","0,18","0,19","0,21","0,22","0,47","0,63","0,63","0,63","0,55","0,52","0,81",1,"0,76","0,75","0,65","0,57","0,92","0,83","1,03","0,66","1,04","0,52","0,53","0,52","0,52"
7,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700706,AL - Batalha,SANEAMENTO,NA,"0,45","0,47","0,55","0,6","0,65","0,7","0,75","0,8","0,86","2,19","3,3","3,45","3,41","3,54","3,47","6,23","7,92","7,82","7,78","6,99","7,7","12,03","10,23","12,65","8,64","12,51","7,29","7,05","6,36",6
8,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700805,AL - Belém,SANEAMENTO,NA,"0,25","0,26","0,27","0,29","0,32","0,34","0,37","0,39","0,42","1,04","1,57","1,65","1,75","1,77","1,75","3,2","4,1","3,37","3,55","3,06","3,16","4,7","4,04","4,99","3,33","4,71","2,62","2,58","2,28","2,11"
9,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2700904,AL - Belo Monte,SANEAMENTO,NA,"0,54","0,56","0,56","0,61","0,66","0,71","0,76","0,81","0,87","2,02","3,13","3,2","3,28","3,42","3,25","6,09","7,57","8,03","8,43","7,5","8,06","12,21","9,37","11,66","8,01","11,37","6,48","6,49","5,77","5,35"
10,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701001,AL - Boca da Mata,SANEAMENTO,NA,"0,31","0,32","0,36","0,39","0,42","0,46","0,49","0,53","0,56","1,49","2,1","2,07","2,04","2,01","2,13","3,8","4,6","4,21","4,19","3,59","3,87","6,19","5,09","6,27","4,41","6,18","3,44","3,46","2,98","2,99"
11,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701100,AL - Branquinha,SANEAMENTO,NA,"0,29","0,3","0,42","0,46","0,5","0,53","0,57","0,61","0,66","1,53","2,38","2,55","2,83","3,11","3,25","6,16","8,18","7,16","7,61","6,73","6,76","10,28","8,57","10,49","7,17","10,23","5,7","5,68","5,11","4,76"
12,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701209,AL - Cacimbinhas,SANEAMENTO,NA,"0,95",1,"0,71","0,77","0,84","0,9","0,97","1,04","1,11","2,71","4,14","3,95","3,79","3,62","3,17","5,48","6,4","7,21","7,17","6,14","6,7","10,21","8,62","10,62","7,34","10,57","5,95","5,97","5,38","5,1"
13,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701308,AL - Cajueiro,SANEAMENTO,NA,"0,26","0,27","0,28","0,31","0,33","0,36","0,38","0,41","0,44","0,93","1,41","1,38","1,35","1,32","1,01","1,79","2,15","2,1","2,09","1,43","1,53","2,45","2,2","2,72","1,73","2,68","1,34","1,35","1,33",1
14,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701357,AL - Campestre,SANEAMENTO,NA,0,0,"0,05","0,05","0,05","0,06","0,06","0,07","0,07","0,23","0,39","0,35","0,33","0,25","0,2","0,33","0,37","0,5","0,5","0,43","0,37","0,66","0,59","0,73","0,45","0,7","0,33","0,33","0,33","0,33"
15,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701407,AL - Campo Alegre,SANEAMENTO,NA,"0,25","0,26","0,3","0,33","0,36","0,39","0,42","0,45","0,47","1,01","1,52","1,51","1,49","1,46","1,37","2,44","2,96","1,9","1,89","1,63","1,91","3,08","2,79","3,49","2,72","4,24","1,79","1,8","1,77","1,79"
16,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701506,AL - Campo Grande,SANEAMENTO,NA,"0,56","0,58","0,54","0,59","0,64","0,69","0,74","0,79","0,85","1,8","2,83","3,05","3,17","3,27","3,1","5,91","7,38","8,2","8,56","7,68","8,15","12,26","10,56","12,99","8,92","12,83","7,27","7,28","6,43","5,99"
17,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701605,AL - Canapi,SANEAMENTO,NA,"1,29","1,35","1,29","1,4","1,52","1,64","1,76","1,88","2,01","4,48","7,08","7,06","7,26","7,23","6,67","12,32","15,01","16,01","16,29","14,58","15,23","23,37","19,32","24,11","16,63","23,42","13,51","13,23","11,94","11,1"
18,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701704,AL - Capela,SANEAMENTO,NA,"0,13","0,14","0,14","0,16","0,17","0,18","0,2","0,21","0,22","0,48","0,72","0,9","1,1","1,29","1,38","2,78","3,75","3,56","3,89","3,59","4,17","6,08","5,06","6,18","4,28","6,14","3,55","3,53","2,95","2,94"
19,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701803,AL - Carneiros,SANEAMENTO,NA,"0,28","0,29","0,34","0,37","0,4","0,44","0,47","0,5","0,53","1,14","1,79","1,86",2,"2,06","2,08","3,87","4,86","5,39","5,53","5,1","5,61","8,73","7,3","8,86","6,19","8,99","5,11","5,16","4,51","4,27"
20,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2701902,AL - Chã Preta,SANEAMENTO,NA,"0,23","0,24","0,24","0,27","0,29","0,31","0,33","0,36","0,38","0,81","1,22","1,3","1,36","1,5","1,51","2,79","3,66","3,35","3,61","3,29","3,76","5,7","4,83","5,94","4,09","5,76","3,26","3,26","2,87","2,75"
21,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2702009,AL - Coité do Nóia,SANEAMENTO,NA,"0,68","0,71","0,89","0,97","1,05","1,13","1,22","1,3","1,39","3,1","4,75","5,19","5,59","5,99","6,08","11,72","14,91","11,88","12,47","11,12","12,52","18,8","15,52","19,19","13,09","18,45","10,45","10,4","9,25","8,54"
22,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AL,2702108,AL - Colônia Leopoldina,SANEAMENTO,NA,"0,12","0,12","0,13","0,14","0,15","0,17","0,18","0,19","0,2","0,43","0,65","0,64","0,83","0,82","0,75","1,68","2,02","2,43","2,42","2,09","2,63","4,03","3,27","4,04","2,79","3,79","2,39","2,4","2,03","2,04"
