ID,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,NIVEL 5,NIVEL 6,TIPO DE EMISSAO,GÁS,TERRITÓRIO,IBGE,MUNICIPIO,ATIVIDADE ECONÔMICA,PRODUTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300029,AM - Alvarães,SANEAMENTO,NA,"4,2","4,57","5,65","6,37","6,99","7,8","8,52","9,44","10,25","11,29","12,59","15,48","18,18","20,85","13,63","13,84","14,77","22,15","12,92","13,63","15,31","12,13","9,92","9,67","9,44","10,61","11,62","10,69","10,66","10,51"
2,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300060,AM - Amaturá,SANEAMENTO,NA,"1,32","1,43","1,93","2,12","2,32","2,62","2,85","3,19","3,45","3,84","4,2","5,32","6,52","7,76","5,29","5,74","6,27","10,16","6,18","6,84","8,28","6,53","5,3","5,39","5,2","5,92","6,49","6,04","6,09","6,01"
3,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300086,AM - Anamã,SANEAMENTO,NA,"2,37","2,61","2,43","2,71",3,"3,32","3,75","4,12","4,51","4,92","5,44","6,73","8,16","9,49","6,34","6,51","7,07","14,68","9,13","10,16","13,76","10,77","9,03","9,02","9,1","10,33","11,48","10,68","10,92","10,98"
4,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300102,AM - Anori,SANEAMENTO,NA,"3,76","4,26","4,55","5,05","5,58","6,15","6,91","7,56","8,26",9,"9,93","12,45","14,98","17,31","11,56","11,81","12,74","24,01","14,38","15,98","19,66","15,52","13,05","12,96","12,93","14,67","16,25","15,26","15,18","15,18"
5,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300144,AM - Apuí,SANEAMENTO,NA,"2,18","2,41","4,98","5,56","6,18","6,85","7,56","8,32","9,32","10,19","11,27","14,5","17,6","21,35","14,65","15,46","17,13","26,28","15,71","17,51","18,72","14,9","12,16","11,97","12,09","13,29","14,84","13,66","13,78","13,66"
6,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300201,AM - Atalaia do Norte,SANEAMENTO,NA,"1,62","1,79","1,91","2,24","2,48","2,73",3,"3,29","3,59","3,92","4,33","5,83","7,98","9,95","7,21","8,11","9,38","20,61","13,46","16,01","19,69","15,65","13,07","13,02","12,77","14,5","16,25","15,36","15,35","15,39"
7,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300300,AM - Autazes,SANEAMENTO,NA,"8,68","9,45","11,58","13,03","14,29","15,93","17,38","19,25","21,24",23,"25,62","31,42","37,58","43,15","28,7","29,18","31,15","53,85","32,28","34,57","38,73","30,42","25,47","25,11","24,94","27,44","30,44","28,42","28,7","28,58"
8,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300409,AM - Barcelos,SANEAMENTO,NA,"4,48","5,08","9,47","10,52","11,65","12,85","14,13","15,83","17,3","18,87","20,83","26,09","31,09","36,85","24,63","25,35","26,76","32,98","18,97","19,67","21,27","16,5","13,55","13,07","12,82","14,45","15,29","14,45","14,25","13,86"
9,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300508,AM - Barreirinha,SANEAMENTO,NA,"9,93","10,94","12,89","14,35","15,9","17,85","19,64","21,55","23,57","25,73","28,44","35,12","42,43","48,93","32,56","33,25","35,57","61,06","36,15","39,48","42,02","33,27","27,23","26,63","26,75","29,3","32,39","30,2","30,25","29,6"
10,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300607,AM - Benjamin Constant,SANEAMENTO,NA,"6,04","6,74","7,12","8,02","8,99","9,75","10,85","12,03","13,28","14,27","15,92","19,97","24,05","28,31","18,92","19,72","21,28","41,2","25,18","28,07","34,74","27,14","22,81","22,65","22,29","25,41","27,84","26,38","26,82","26,71"
11,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300631,AM - Beruri,SANEAMENTO,NA,"2,64","2,93","3,74","4,18","4,66","5,18","5,73","6,32","6,95","7,45","8,27","10,74","13,33","16,17","11,19","12,27","13,61","24,87","15,47","17,54","21,22","16,55","13,86","13,73","13,8","15,24","16,85","15,94","16,17","15,87"
12,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300680,AM - Boa Vista do Ramos,SANEAMENTO,NA,"2,95","3,25","3,94","4,39","4,88","5,39","5,95","6,53","7,16","7,99","8,83","11,16","13,32","15,78","10,65","11,19","12,14","22,37","13,93","15,52","18,76","14,83","12,26","12,17","12,16","13,78","15,18","14,28","14,51","14,19"
13,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AM,1300706,AM - Boca do Acre,SANEAMENTO,NA,"5,71","6,25","5,7","6,61","7,28","7,99","8,75","9,55","10,8","11,72","12,89","16,45","20,2","24,21","16,4","17,81","19,5","37,1","23,13","26,13","29,68","23,34","19,18","18,64","17,98","20,25","22,17","20,67","19,97","19,59"
